C1;C2;C3;C4;C5;C6
1,0004;1,0116;0,9855;0,0000;0,0000;0,0069
1,0007;1,0136;0,9831;0,0000;0,0000;0,0098
1,0013;1,0072;0,9798;0,0000;0,0000;0,0063
1,0011;1,0075;0,9760;0,0000;0,0000;0,0039
0,9973;1,0008;0,9795;0,0000;0,0000;0,0040
0,9972;1,0000;0,9778;0,0004;0,0000;0,0036
0,9973;0,9971;0,9778;0,0001;0,0000;0,0029
1,0022;1,0123;0,9843;0,0000;0,0000;0,0060
1,0018;1,0133;0,9850;0,0000;0,0000;0,0000
1,0024;1,0044;0,9949;0,0000;0,0000;0,0000
1,0023;1,0036;0,9894;0,0026;0,0026;0,0000
0,9999;1,0065;0,9899;0,0030;0,0021;0,0000
1,0022;1,0157;0,9895;0,0024;0,0000;0,0000
1,0036;1,0124;0,9926;0,0000;0,0000;0,0000
1,0052;1,0031;0,9941;0,0000;0,0000;0,0027
1,0033;1,0083;0,9941;0,0000;0,0000;0,0026
1,0060;0,9992;0,9917;0,0000;0,0000;0,0048
1,0032;0,9974;0,9840;0,0000;0,0000;0,0000
1,0043;0,9949;0,9964;0,0000;0,0000;0,0011
1,0086;0,9949;0,9934;0,0005;0,0000;0,0005
1,0065;1,0003;0,9970;0,0000;0,0000;0,0000
1,0053;0,9955;0,9904;0,0000;0,0000;0,0008
1,0054;0,9935;0,9880;0,0000;0,0000;0,0008
1,0043;0,9936;0,9871;0,0014;0,0000;0,0007
1,0011;0,9942;0,9898;0,0015;0,0000;0,0000
1,0011;0,9938;0,9765;0,0016;0,0000;0,0000
0,9989;0,9965;0,9779;0,0025;0,0013;0,0000
0,9997;1,0009;0,9734;0,0032;0,0059;0,0000
0,9978;1,0034;0,9768;0,0019;0,0167;0,0027
1,0008;1,0054;0,9729;0,0000;0,0157;0,0038
0,9991;0,9966;0,9698;0,0000;0,0186;0,0028
0,9983;0,9964;0,9671;0,0000;0,0208;0,0077
0,9998;0,9991;0,9627;0,0000;0,0228;0,0056
0,9972;1,0038;0,9620;0,0000;0,0271;0,0085
0,9975;0,9987;0,9582;0,0000;0,0246;0,0151
1,0000;0,9948;0,9490;0,0003;0,0220;0,0135
0,9966;0,9921;0,9545;0,0000;0,0220;0,0091
0,9968;0,9944;0,9486;0,0018;0,0204;0,0072
0,9972;1,0007;0,9498;0,0021;0,0210;0,0094
0,9986;0,9983;0,9565;0,0039;0,0249;0,0131
0,9959;1,0041;0,9540;0,0049;0,0229;0,0189
0,9931;1,0039;0,9526;0,0027;0,0213;0,0169
0,9940;1,0021;0,9550;0,0000;0,0201;0,0184
0,9944;1,0010;0,9614;0,0005;0,0176;0,0172
0,9947;1,0055;0,9564;0,0000;0,0112;0,0139
0,9952;1,0074;0,9580;0,0000;0,0089;0,0138
0,9936;1,0200;0,9509;0,0000;0,0106;0,0176
0,9939;1,0148;0,9535;0,0000;0,0145;0,0130
0,9943;1,0176;0,9537;0,0000;0,0104;0,0108
0,9927;1,0141;0,9514;0,0000;0,0065;0,0092
0,9962;1,0081;0,9496;0,0000;0,0064;0,0101
0,9969;1,0088;0,9424;0,0000;0,0000;0,0059
0,9943;1,0096;0,9446;0,0000;0,0000;0,0033
0,9954;1,0200;0,9516;0,0000;0,0000;0,0018
0,9932;1,0200;0,9501;0,0000;0,0000;0,0050
0,9946;1,0166;0,9484;0,0000;0,0000;0,0022
0,9967;1,0183;0,9515;0,0000;0,0014;0,0042
0,9948;1,0060;0,9593;0,0000;0,0048;0,0045
0,9965;1,0047;0,9499;0,0000;0,0027;0,0037
0,9971;1,0051;0,9501;0,0000;0,0000;0,0018
0,9985;1,0098;0,9530;0,0000;0,0000;0,0000
1,0020;1,0158;0,9550;0,0000;0,0000;0,0000
1,0013;1,0134;0,9453;0,0000;0,0001;0,0000
0,9995;1,0119;0,9488;0,0000;0,0000;0,0000
0,9975;1,0065;0,9574;0,0000;0,0003;0,0000
0,9956;0,9989;0,9578;0,0000;0,0012;0,0000
0,9952;1,0001;0,9519;0,0000;0,0003;0,0000
0,9956;0,9922;0,9510;0,0000;0,0000;0,0000
0,9959;0,9899;0,9592;0,0000;0,0000;0,0000
0,9973;0,9841;0,9643;0,0000;0,0000;0,0000
0,9970;0,9881;0,9670;0,0000;0,0000;0,0000
0,9996;0,9989;0,9706;0,0000;0,0000;0,0000
0,9988;0,9918;0,9708;0,0000;0,0000;0,0000
1,0040;0,9805;0,9688;0,0000;0,0034;0,0000
1,0050;0,9816;0,9664;0,0000;0,0029;0,0000
1,0030;0,9823;0,9703;0,0000;0,0059;0,0000
1,0005;0,9832;0,9788;0,0000;0,0064;0,0000
1,0012;0,9801;0,9851;0,0005;0,0055;0,0000
1,0005;0,9794;0,9776;0,0000;0,0052;0,0000
1,0016;0,9817;0,9791;0,0028;0,0047;0,0000
1,0022;0,9885;0,9838;0,0015;0,0064;0,0000
1,0018;0,9771;0,9890;0,0000;0,0029;0,0000
0,9998;0,9751;0,9832;0,0000;0,0000;0,0000
0,9965;0,9762;0,9977;0,0000;0,0002;0,0000
0,9953;0,9700;0,9915;0,0000;0,0030;0,0000
0,9967;0,9806;0,9847;0,0000;0,0052;0,0000
0,9968;0,9774;0,9888;0,0000;0,0056;0,0000
0,9940;0,9776;0,9988;0,0000;0,0077;0,0000
0,9940;0,9804;0,9946;0,0012;0,0096;0,0000
0,9945;0,9772;0,9940;0,0009;0,0120;0,0000
0,9924;0,9666;0,9986;0,0000;0,0089;0,0000
0,9924;0,9639;0,9958;0,0000;0,0050;0,0000
0,9922;0,9707;0,9934;0,0000;0,0037;0,0000
0,9896;0,9691;0,9980;0,0000;0,0036;0,0000
0,9900;0,9637;0,9989;0,0000;0,0028;0,0000
0,9908;0,9700;1,0026;0,0000;0,0000;0,0000
0,9926;0,9688;1,0104;0,0000;0,0027;0,0000
0,9944;0,9668;1,0112;0,0000;0,0018;0,0000
0,9913;0,9688;1,0117;0,0015;0,0024;0,0000
0,9891;0,9730;1,0128;0,0044;0,0067;0,0000
0,9898;0,9870;1,0158;0,0063;0,0005;0,0000
0,9905;0,9923;1,0189;0,0060;0,0000;0,0000
0,9912;0,9995;1,0196;0,0026;0,0000;0,0000
0,9986;0,9966;1,0200;0,0030;0,0000;0,0000
0,9994;0,9926;1,0200;0,0026;0,0000;0,0000
1,0014;0,9933;1,0200;0,0040;0,0011;0,0000
1,0029;0,9945;1,0200;0,0044;0,0037;0,0000
1,0039;0,9885;1,0183;0,0048;0,0067;0,0000
1,0029;0,9879;1,0146;0,0105;0,0068;0,0000
1,0041;0,9901;1,0159;0,0102;0,0044;0,0000
1,0023;0,9927;1,0191;0,0113;0,0000;0,0000
1,0015;0,9952;1,0185;0,0101;0,0000;0,0000
1,0002;0,9966;1,0089;0,0112;0,0000;0,0000
1,0000;0,9932;1,0040;0,0129;0,0000;0,0000
1,0043;0,9900;1,0073;0,0135;0,0000;0,0000
1,0002;0,9842;0,9925;0,0158;0,0000;0,0000
1,0013;0,9939;0,9971;0,0149;0,0030;0,0000
0,9977;0,9943;1,0020;0,0122;0,0002;0,0000
0,9964;0,9919;1,0085;0,0129;0,0022;0,0000
0,9983;0,9859;1,0065;0,0147;0,0025;0,0000
0,9981;1,0043;0,9944;0,0148;0,0030;0,0000
0,9956;0,9975;1,0011;0,0150;0,0065;0,0000
0,9938;0,9942;1,0056;0,0144;0,0108;0,0000
0,9949;0,9961;1,0091;0,0123;0,0095;0,0000
0,9931;1,0000;1,0058;0,0121;0,0109;0,0000
0,9932;1,0051;1,0069;0,0115;0,0115;0,0000
0,9930;1,0157;1,0051;0,0116;0,0109;0,0000
0,9913;1,0182;1,0034;0,0102;0,0112;0,0026
0,9953;1,0109;1,0086;0,0092;0,0082;0,0000
0,9963;1,0102;1,0003;0,0087;0,0067;0,0000
0,9919;1,0120;0,9955;0,0084;0,0046;0,0023
0,9919;1,0200;0,9904;0,0082;0,0072;0,0002
0,9903;1,0138;0,9851;0,0068;0,0066;0,0000
0,9917;1,0200;0,9846;0,0067;0,0020;0,0000
0,9898;1,0200;0,9922;0,0073;0,0000;0,0000
0,9892;1,0200;0,9914;0,0079;0,0000;0,0000
0,9899;1,0200;0,9840;0,0123;0,0000;0,0000
0,9914;1,0181;0,9885;0,0120;0,0000;0,0000
0,9887;1,0200;0,9966;0,0104;0,0000;0,0000
0,9877;1,0200;0,9938;0,0158;0,0000;0,0000
0,9864;1,0200;0,9914;0,0163;0,0022;0,0000
0,9848;1,0200;0,9941;0,0179;0,0040;0,0028
0,9881;1,0200;1,0022;0,0188;0,0000;0,0033
0,9886;1,0150;0,9994;0,0187;0,0000;0,0082
